system:index,MATCH1_x,mean
00000000000000002aec,6Census Tract 40111,0.11726702
00000000000000002b48,6Census Tract 40791,0.243584197
00000000000000002b49,6Census Tract 4366.011,0.177056484
00000000000000002b51,6Census Tract 40141,0.105682876
00000000000000002b59,6Census Tract 40051,0.172409337
00000000000000002b5d,6Census Tract 43541,0.146850161
00000000000000002b5f,6Census Tract 40151,0.114905871
00000000000000002b71,6Census Tract 40161,0.084663205
00000000000000002b72,6Census Tract 40241,0.133112136
00000000000000002b78,6Census Tract 40221,0.104328698
00000000000000002b82,6Census Tract 40251,0.151718245
00000000000000002b83,6Census Tract 40261,0.121169959
00000000000000002b84,6Census Tract 40271,0.115748249
00000000000000002b85,6Census Tract 40281,0.054624032
00000000000000002b86,6Census Tract 40301,0.058853242
00000000000000002b90,6Census Tract 40311,0.067080002
00000000000000002b98,6Census Tract 40381,0.172269217
00000000000000002b99,6Census Tract 40391,0.173592673
00000000000000002ba2,6Census Tract 40401,0.142024886
00000000000000002ba3,6Census Tract 43831,0.172760553
00000000000000002bce,6Census Tract 40361,0.129003271
00000000000000002bcf,6Census Tract 43531,0.23416726
00000000000000002bd0,6Census Tract 4403.061,0.212279518
00000000000000002bd9,6Census Tract 43571,0.185002408
00000000000000002bda,6Census Tract 40061,0.161214209
00000000000000002bde,6Census Tract 43371,0.183452473
00000000000000002bdf,6Census Tract 43751,0.185577631
00000000000000002be0,6Census Tract 4515.031,0.22951819
00000000000000002be1,6Census Tract 40681,0.219479972
00000000000000002be2,6Census Tract 43051,0.239079473
00000000000000002be3,6Census Tract 43111,0.17860467
00000000000000002be7,6Census Tract 42281,0.127670091
00000000000000002be8,6Census Tract 40501,0.216288157
00000000000000002bef,6Census Tract 40091,0.149260348
00000000000000002bf0,6Census Tract 40071,0.143995911
00000000000000002bf1,6Census Tract 40081,0.136649962
00000000000000002bf2,6Census Tract 4516.021,0.222474856
00000000000000002bf3,6Census Tract 40021,0.210109242
00000000000000002bfc,6Census Tract 41031,0.16024518
00000000000000002c05,6Census Tract 42131,0.215217477
00000000000000002c06,6Census Tract 4507.411,0.267583324
00000000000000002c07,6Census Tract 42321,0.170644709
00000000000000002c0c,6Census Tract 4239.021,0.170893446
00000000000000002c0f,6Census Tract 40031,0.158076922
00000000000000002c11,6Census Tract 42791,0.211784765
00000000000000002c13,6Census Tract 40751,0.126998727
00000000000000002c14,6Census Tract 43061,0.238277449
00000000000000002c15,6Census Tract 42161,0.282555584
00000000000000002c16,6Census Tract 40831,0.238491467
00000000000000002c17,6Census Tract 40181,0.140129031
00000000000000002c1a,6Census Tract 40041,0.198698087
00000000000000002c23,6Census Tract 40101,0.123446649
00000000000000002c2b,6Census Tract 4236.011,0.20014331
00000000000000002c2d,6Census Tract 40671,0.247232162
00000000000000002c2e,6Census Tract 43651,0.21578885
00000000000000002c2f,6Census Tract 43081,0.21271927
00000000000000002c43,6Census Tract 40121,0.152868515
00000000000000002c44,6Census Tract 40131,0.088139679
00000000000000002c50,6Census Tract 40291,0.058684472
00000000000000002c59,6Census Tract 4419.241,0.226591168
10,34Census Tract 234.023,0.161916434
16,34Census Tract 2913,0.151118507
17,34Census Tract 3023,0.176869457
18,34Census Tract 3133,0.169179628
43,34Census Tract 236.023,0.099572455
44,34Census Tract 40.013,0.194855381
0000000000000000006c,34Census Tract 1823,0.18409786
71,34Census Tract 5723,0.117239251
72,34Census Tract 5723,0.117239251
73,34Census Tract 5723,0.117239251
74,34Census Tract 5723,0.117239251
75,34Census Tract 1123,0.21691287
76,34Census Tract 1123,0.21691287
77,34Census Tract 1123,0.21691287
78,34Census Tract 1123,0.21691287
000000000000000000ea,34Census Tract 4633,0.153188541
000000000000000000ec,34Census Tract 571.013,0.165522169
000000000000000000ed,34Census Tract 571.023,0.170778975
000000000000000002de,39Census Tract 1323,0.334561031
000000000000000002df,39Census Tract 1323,0.334561031
2.00E+00,39Census Tract 1363,0.321249194
2.00E+01,39Census Tract 1363,0.321249194
0.00E+00,42Census Tract 1033,0.050578417
00000000000000000f07,41Census Tract 1063,0.211378004
0000000000000000167d,10Census Tract 143,0.161637568
0000000000000000167f,10Census Tract 93,0.131025657
1680,10Census Tract 53,0.192178861
1682,10Census Tract 6.023,0.176440225
1683,10Census Tract 113,0.231339636
1684,10Census Tract 153,0.225750165
000000000000000019b2,9Census Tract 50233,0.217937872
00000000000000001f24,32Census Tract 58.093,0.137706193
00000000000000001f65,34Census Tract 3033,0.15120112
00000000000000001f77,34Census Tract 3323,0.183333865
00000000000000001f78,34Census Tract 3323,0.183333865
00000000000000001f9c,34Census Tract 3123,0.1595776
00000000000000001f9d,34Census Tract 5113,0.208745572
00000000000000001f9e,34Census Tract 5113,0.208745572
00000000000000001fc6,34Census Tract 4113,0.150616784
00000000000000001fc7,34Census Tract 4113,0.150616784
00000000000000001ff2,34Census Tract 2163,0.129314958
2017,34Census Tract 2123,0.140281342
2018,34Census Tract 2143,0.179432663
2019,34Census Tract 2153,0.119020406
2023,34Census Tract 333,0.224430456
0000000000000000205f,34Census Tract 4623,0.180577625
2060,34Census Tract 4623,0.180577625
2089,34Census Tract 3833,0.157032766
2097,34Census Tract 5123,0.208246138
2098,34Census Tract 5123,0.208246138
0000000000000000209e,34Census Tract 40.023,0.185294883
0000000000000000000e,34Census Tract 2323,0.181744911
0000000000000000000f,34Census Tract 234.013,0.213154182
19,34Census Tract 3143,0.154612308
0000000000000000001a,34Census Tract 3333,0.230675608
0000000000000000003e,34Census Tract 193.063,0.20753237
0000000000000000003f,34Census Tract 235.013,0.164757966
65,34Census Tract 633,0.13152067
66,34Census Tract 1813,0.093193033
67,34Census Tract 1813,0.093193033
68,34Census Tract 1813,0.093193033
69,34Census Tract 1813,0.093193033
79,34Census Tract 1533,0.226332099
80,34Census Tract 323,0.166861139
81,34Census Tract 323,0.166861139
82,34Census Tract 323,0.166861139
83,34Census Tract 323,0.166861139
0000000000000000008c,34Census Tract 413.023,0.176194472
0000000000000000008d,34Census Tract 62.023,0.148224727
000000000000000000db,34Census Tract 235.023,0.138740663
0.00E+00,34Census Tract 62.013,0.152599231
0.00E+00,34Census Tract 191.033,0.183135613
0.00E+00,34Census Tract 193.053,0.178952963
0.00E+00,34Census Tract 413.013,0.149212021
0.00E+00,34Census Tract 2133,0.182299075
00000000000000000ca8,42Census Tract 47323,0.192121888
00000000000000000cb7,42Census Tract 14133,0.175649573
00000000000000000cb8,42Census Tract 14133,0.175649573
00000000000000000cb9,42Census Tract 14133,0.175649573
00000000000000000cba,42Census Tract 14133,0.175649573
00000000000000000cc3,42Census Tract 11133,0.172350284
00000000000000000cc4,42Census Tract 11133,0.172350284
00000000000000000cc5,42Census Tract 11133,0.172350284
00000000000000000cc6,42Census Tract 11133,0.172350284
00000000000000000cd7,42Census Tract 30013,0.182936598
00000000000000000ce2,42Census Tract 10173,0.216014144
00000000000000000ce3,42Census Tract 10173,0.216014144
00000000000000000ce4,42Census Tract 10173,0.216014144
00000000000000000ce5,42Census Tract 10173,0.216014144
00000000000000000cee,42Census Tract 48103,0.185892696
00000000000000000d39,42Census Tract 56203,0.154643437
00000000000000000d3a,42Census Tract 5154.013,0.18293153
00000000000000000d82,42Census Tract 98223,0.133416441
00000000000000000d88,42Census Tract 47213,0.175028705
00000000000000000d89,42Census Tract 47223,0.180082848
00000000000000000d8a,42Census Tract 47233,0.150280701
00000000000000000d8b,42Census Tract 47243,0.162514811
0.00E+00,42Census Tract 7063,0.143581359
0.00E+00,42Census Tract 8073,0.148822534
0.00E+00,42Census Tract 14033,0.202605043
0.00E+00,42Census Tract 4063,0.149500835
0.00E+00,42Census Tract 14063,0.195617113
00000000000000000e4a,42Census Tract 14083,0.184312327
